CityID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,rikitea,88,PF,1532235126,100,-23.12,-134.97,73.29,15.48
1,jamestown,0,AU,1532234995,49,-33.21,138.6,59.7,16.71
2,nikolskoye,90,RU,1532232000,94,59.7,30.79,68.0,3.18
3,puerto ayora,92,EC,1532235126,100,-0.74,-90.35,71.31,14.47
4,solnechnyy,64,RU,1532235126,68,50.72,136.64,66.45,3.4
5,opuwo,0,NA,1532235127,64,-18.06,13.84,44.13,7.2
6,cape town,0,ZA,1532232000,45,-33.93,18.42,64.4,16.11
7,tiksi,76,RU,1532235127,60,71.64,128.87,53.31,10.78
8,raja jang,75,PK,1532231700,84,31.22,74.25,86.0,6.93
9,mataura,92,NZ,1532235128,100,-46.19,168.86,42.87,14.81
10,acu,0,BR,1532232000,83,-3.35,-60.45,78.8,2.24
11,sorland,0,NO,1532235128,100,67.67,12.69,53.22,2.62
12,port moresby,40,PG,1532232000,70,-9.47,147.16,86.0,24.16
13,antofagasta,90,CL,1532232000,82,-23.65,-70.4,55.4,13.87
14,cherskiy,0,RU,1532235129,55,68.75,161.3,47.46,4.52
15,barrow,44,AR,1532235129,88,-38.31,-60.23,39.54,15.26
16,talnakh,44,RU,1532235129,56,69.49,88.39,63.66,9.1
17,grand gaube,40,MU,1532232000,68,-20.01,57.66,71.6,12.75
18,chokurdakh,0,RU,1532235129,73,70.62,147.9,50.97,10.0
19,qaanaaq,56,GL,1532235130,100,77.48,-69.36,33.6,7.09
20,gambela,48,ET,1532235130,94,8.25,34.59,67.62,4.07
21,severo-kurilsk,88,RU,1532235130,93,50.68,156.12,53.22,10.89
22,busselton,80,AU,1532235131,100,-33.64,115.35,62.13,36.84
23,luderitz,0,NA,1532235131,61,-26.65,15.16,60.24,8.43
24,ilinskiy,90,RU,1532232000,82,55.62,38.12,68.0,8.95
25,moron,80,VE,1532235131,93,10.49,-68.2,69.15,2.62
26,tuktoyaktuk,75,CA,1532232000,82,69.44,-133.03,55.4,5.82
27,cockburn town,68,TC,1532235132,100,21.46,-71.14,81.66,17.27
28,pevek,48,RU,1532235132,100,69.7,170.27,37.02,19.51
29,gravdal,92,NO,1532233200,93,59.79,5.78,57.2,2.24
30,ushuaia,20,AR,1532235132,100,-54.81,-68.31,15.51,2.73
31,le port,88,FR,1532235133,92,42.87,1.37,49.71,1.39
32,hithadhoo,76,MV,1532235133,100,-0.6,73.08,79.59,7.43
33,mitu,0,IR,1532235133,23,36.2,46.09,80.58,2.73
34,nautla,8,MX,1532235133,98,20.22,-96.78,83.64,9.78
35,kijang,75,KR,1532232000,62,35.24,129.21,89.6,8.05
36,vaini,88,IN,1532235134,99,15.34,74.49,72.66,9.33
37,butaritari,80,KI,1532235134,100,3.07,172.79,83.46,3.74
38,atuona,24,PF,1532235134,100,-9.8,-139.03,79.86,21.63
39,arraial do cabo,48,BR,1532235135,99,-22.97,-42.02,69.42,11.68
40,punta arenas,20,CL,1532232000,92,-53.16,-70.91,30.2,12.75
41,sinop,0,TR,1532231400,77,42.03,35.15,69.8,4.7
42,pak phanang,20,TH,1532232000,52,8.35,100.2,93.2,3.36
43,kodiak,1,US,1532231580,88,39.95,-94.76,69.8,8.05
44,kemise,64,ET,1532235135,93,10.72,39.87,58.62,2.28
